Suburb,Type,Price,Buildingage,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance,Priceperage,Price/km
Abbotsford,h,1035000,825,1487,10256.41026,400000,84507.04225,1254.545455,85
Bentleigh,h,1222500,191,296,7008.196721,427500,534375,6400.52356,534
Burwood,h,1755000,171,20000,11111.11111,533333.3333,615384.6154,10263.15789,615
Chadstone,h,890000,171,10104, ,338500,423125,5204.678363,423
Essendon,h,911000,167,9822,11374.57045,827500,2068750,5455.08982,2069
Footscray,u,216000,165,11895,9741.37931,452000,1076190.476,1309.090909,1076
Maribyrnong,t,560000,164,11282, ,733333.3333,1157894.737,3414.634146,1158
Maribyrnong,t,560000,161,10900,14248.36601,545000,1038095.238,3478.26087,1038
Thornbury,t,805000,161,12963,14452.35883,933333.3333,1473684.211,5000,1474
Ormond,u,250000,161,3721, ,1082000,515238.0952,1552.795031,515
Airport West,h,830000,159,14222, ,800000,1523809.524,5220.125786,1524
Albert Park,h,2000000,158,10791, ,841666.6667,1202380.952,12658.22785,1202
Altona,h,678000,158,8800,7857.142857,733333.3333,578947.3684,4291.139241,579
Ascot Vale,h,1430000,153,7411, ,906666.6667,445901.6393,9346.405229,446
Ascot Vale,u,610000,152,4545, ,416666.6667,195312.5,4013.157895,195
Ascot Vale,h,940000,151,3207, ,487500,354545.4545,6225.165563,355
Bentleigh East,h,1050000,151,10938, ,583333.3333,921052.6316,6953.642384,921
Bentleigh East,h,921000,146,11579,12790.69767,1100000,846153.8462,6308.219178,846
Brunswick,h,825000,144,4153, ,460000,968421.0526,5729.166667,968
Brunswick,h,1261000,141,5874,10336.53846,358333.3333,671875,8943.262411,672
Brunswick,h,1045000,141,11929,9881.656805,556666.6667,439473.6842,7411.347518,439
Brunswick West,h,711000,141,3958,11309.52381,316666.6667,135714.2857,5042.553191,136
Bulleen,h,1000000,141,15033,12777.77778,575000,696969.697,7092.198582,697
