Suburb,,,Type,Price,,,Distance,,Bedroom,,,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Buildingage,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance,,Uppercase
Abbotsford,,,h,1035000,,,2.5,,2,,,156,79,1900,Yarra City Council,-37.8079,144.9934,Northern Metropolitan,4019,121,6634.615385,13101.26582,517500,414000,,ABBOTSFORD
Altona,,,t,720000,,,13.8,,2,,,292,125,2013,Hobsons Bay City Council,-37.8687,144.8197,Western Metropolitan,5301,8,2465.753425,5760,360000,52173.91304,,ALTONA
Bentleigh,,,h,1222500,,,13,,3,,,299,181,2000,Glen Eira City Council,-37.9272,145.0406,Southern Metropolitan,6795,21,4088.628763,6754.143646,407500,94038.46154,,BENTLEIGH
Burwood,,,h,1755000,,,11.7,,3,,,931,145,1970,Monash City Council,-37.854,145.1195,Southern Metropolitan,5678,51,1885.069817,12103.44828,585000,150000,,BURWOOD
Chadstone,,,h,890000,,,13.6,,4,,,288,158,2014,Monash City Council,-37.8801,145.1051,Southern Metropolitan,3582,7,3090.277778,5632.911392,222500,65441.17647,,CHADSTONE
Coburg,,,h,675000,,,7.8,,3,,,142,123,2005,Darebin City Council,-37.7382,144.973,Northern Metropolitan,11204,16,4753.521127,5487.804878,225000,86538.46154,,COBURG
Elwood,,,t,1395000,,,7.7,,3,,,400,126,1996,Port Phillip City Council,-37.8829,144.9797,Southern Metropolitan,8989,25,3487.5,11071.42857,465000,181168.8312,,ELWOOD
Essendon,,,h,911000,,,8,,3,,,225,98,2008,Moonee Valley City Council,-37.7454,144.8987,Western Metropolitan,9264,13,4048.888889,9295.918367,303666.6667,113875,,ESSENDON
Footscray,,,u,216000,,,6.4,,1,,,0,50,1970,Maribyrnong City Council,-37.7907,144.8924,Western Metropolitan,7570,51, ,4320,216000,33750,,FOOTSCRAY
Maribyrnong,,,t,560000,,,8.7,,3,,,77,115,2004,Maribyrnong City Council,-37.7746,144.8798,Western Metropolitan,4918,17,7272.727273,4869.565217,186666.6667,64367.81609,,MARIBYRNONG
Maribyrnong,,,t,560000,,,8.7,,3,,,83,,2000,Maribyrnong City Council,-37.7719,144.8815,Western Metropolitan,4918,21,6746.987952, ,186666.6667,64367.81609,,MARIBYRNONG
Port Melbourne,,,u,550000,,,3.8,,2,,,0,57,2012,Melbourne City Council,-37.8408,144.94,Southern Metropolitan,8648,9, ,9649.122807,275000,144736.8421,,PORT MELBOURNE
Thornbury,,,t,805000,,,6.5,,2,,,164,95,2009,Darebin City Council,-37.7536,144.9825,Northern Metropolitan,8870,12,4908.536585,8473.684211,402500,123846.1538,,THORNBURY
Yarraville,,,h,890000,,,7,,2,,,166,,1920,Maribyrnong City Council,-37.8209,144.8913,Western Metropolitan,6543,101,5361.445783, ,445000,127142.8571,,YARRAVILLE
Ormond,,,u,250000,,,11.8,,1,,,0,36,1960,Glen Eira City Council,-37.9028,145.0475,Southern Metropolitan,3578,61, ,6944.444444,250000,21186.44068,,ORMOND
West Footscray,,,h,1415000,,,8.2,,3,,,970,,1955,Maribyrnong City Council,-37.7958,144.8645,Western Metropolitan,5058,66,1458.762887, ,471666.6667,172560.9756,,WEST FOOTSCRAY
Albion,,,h,765000,,,13.9,,2,,,672,111,1958,Brimbank City Council,-37.7812,144.8121,Western Metropolitan,2185,63,1138.392857,6891.891892,382500,55035.97122,,ALBION
Airport West,,,h,830000,,,13.5,,3,,,971,113,1960,Moonee Valley City Council,-37.7186,144.876,Western Metropolitan,3464,61,854.7888774,7345.132743,276666.6667,61481.48148,,AIRPORT WEST
Albert Park,,,h,2000000,,,3.3,,3,,,211,147,1900,Port Phillip City Council,-37.847,144.9575,Southern Metropolitan,3280,121,9478.672986,13605.44218,666666.6667,606060.6061,,ALBERT PARK
Altona,,,h,678000,,,13.8,,3,,,606,87,1950,Hobsons Bay City Council,-37.8608,144.8124,Western Metropolitan,5301,71,1118.811881,7793.103448,226000,49130.43478,,ALTONA
Ascot Vale,,,h,1640000,,,5.9,,4,,,562,204,1890,Moonee Valley City Council,-37.782,144.903,Western Metropolitan,6567,131,2918.149466,8039.215686,410000,277966.1017,,ASCOT VALE
Ascot Vale,,,h,1430000,,,5.9,,4,,,461,286,1900,Moonee Valley City Council,-37.78,144.9295,Western Metropolitan,6567,121,3101.952278,5000,357500,242372.8814,,ASCOT VALE
Ascot Vale,,,u,610000,,,5.9,,2,,,301,104,1995,Moonee Valley City Council,-37.7791,144.914,Western Metropolitan,6567,26,2026.578073,5865.384615,305000,103389.8305,,ASCOT VALE
Ascot Vale,,,h,940000,,,5.9,,3,,,491,127,1950,Moonee Valley City Council,-37.7727,144.9136,Western Metropolitan,6567,71,1914.460285,7401.574803,313333.3333,159322.0339,,ASCOT VALE
Bentleigh East,,,h,1050000,,,13.9,,3,,,726,131,1950,Glen Eira City Council,-37.9117,145.0695,Southern Metropolitan,10969,71,1446.280992,8015.267176,350000,75539.56835,,BENTLEIGH EAST
Bentleigh East,,,h,722000,,,13.9,,2,,,201,79,2005,Glen Eira City Council,-37.9293,145.0657,Southern Metropolitan,10969,16,3592.039801,9139.240506,361000,51942.44604,,BENTLEIGH EAST
Bentleigh East,,,h,930000,,,13.9,,3,,,588,133,1960,Glen Eira City Council,-37.9286,145.069,Southern Metropolitan,10969,61,1581.632653,6992.481203,310000,66906.47482,,BENTLEIGH EAST
Bentleigh East,,,h,921000,,,13.9,,3,,,291,119,2000,Glen Eira City Council,-37.919,145.0829,Southern Metropolitan,10969,21,3164.948454,7739.495798,307000,66258.99281,,BENTLEIGH EAST
Bentleigh East,,,h,1035000,,,13.9,,3,,,610,160,1950,Glen Eira City Council,-37.9193,145.0691,Southern Metropolitan,10969,71,1696.721311,6468.75,345000,74460.43165,,BENTLEIGH EAST
Box Hill,,,h,1600000,,,13.1,,4,,,692,195,1890,Whitehorse City Council,-37.8247,145.1281,Eastern Metropolitan,4605,131,2312.138728,8205.128205,400000,122137.4046,,BOX HILL
Brighton,,,h,2100000,,,11.2,,5,,,552,219,1920,Bayside City Council,-37.9012,144.997,Southern Metropolitan,10579,101,3804.347826,9589.041096,420000,187500,,BRIGHTON
Brighton East,,,t,940000,,,10.7,,3,,,0,,2004,Bayside City Council,-37.9089,145.0246,Southern Metropolitan,6938,17, , ,313333.3333,87850.46729,,BRIGHTON EAST
Brunswick,,,h,825000,,,5.2,,3,,,210,130,1900,Moreland City Council,-37.7597,144.9545,Northern Metropolitan,11918,121,3928.571429,6346.153846,275000,158653.8462,,BRUNSWICK
Brunswick,,,h,860000,,,5.2,,3,,,352,,1900,Moreland City Council,-37.7566,144.9599,Northern Metropolitan,11918,121,2443.181818, ,286666.6667,165384.6154,,BRUNSWICK
Brunswick,,,h,1261000,,,5.2,,2,,,216,100,1910,Moreland City Council,-37.7746,144.9697,Northern Metropolitan,11918,111,5837.962963,12610,630500,242500,,BRUNSWICK
Brunswick,,,h,1045000,,,5.2,,3,,,222,105,1890,Moreland City Council,-37.7642,144.969,Northern Metropolitan,11918,131,4707.207207,9952.380952,348333.3333,200961.5385,,BRUNSWICK
Brunswick West,,,h,711000,,,5.9,,2,,,177,87,1910,Moreland City Council,-37.7619,144.9412,Northern Metropolitan,7082,111,4016.949153,8172.413793,355500,120508.4746,,BRUNSWICK WEST
Bulleen,,,h,1000000,,,11.8,,4,,,672,212,1970,Manningham City Council,-37.7689,145.0895,Eastern Metropolitan,4480,51,1488.095238,4716.981132,250000,84745.76271,,BULLEEN
Burwood,,,h,1350000,,,11.7,,2,,,593,82,1950,Monash City Council,-37.8444,145.1054,Southern Metropolitan,5678,71,2276.559865,16463.41463,675000,115384.6154,,BURWOOD
Carlton North,,,h,2520000,,,3.2,,4,,,504,168,1890,Melbourne City Council,-37.7805,144.9721,Northern Metropolitan,3106,131,5000,15000,630000,787500,,CARLTON NORTH
Carnegie,,,h,817500,,,11.4,,2,,,211,102,2002,Glen Eira City Council,-37.8856,145.0599,Southern Metropolitan,7822,19,3874.407583,8014.705882,408750,71710.52632,,CARNEGIE
Carnegie,,,h,1450000,,,11.4,,4,,,557,200,1938,Glen Eira City Council,-37.8955,145.0515,Southern Metropolitan,7822,83,2603.231598,7250,362500,127192.9825,,CARNEGIE
Carnegie,,,t,855000,,,11.4,,2,,,158,106,1994,Glen Eira City Council,-37.8886,145.052,Southern Metropolitan,7822,27,5411.392405,8066.037736,427500,75000,,CARNEGIE
Carnegie,,,h,675000,,,11.4,,2,,,0,90,1968,Glen Eira City Council,-37.8973,145.0625,Southern Metropolitan,7822,53, ,7500,337500,59210.52632,,CARNEGIE
Caulfield South,,,h,825000,,,9.3,,2,,,367,85,1930,Glen Eira City Council,-37.8995,145.0241,Southern Metropolitan,5051,91,2247.956403,9705.882353,412500,88709.67742,,CAULFIELD SOUTH
Caulfield South,,,h,1262000,,,9.3,,4,,,464,272,2016,Glen Eira City Council,-37.8901,145.0224,Southern Metropolitan,5051,5,2719.827586,4639.705882,315500,135698.9247,,CAULFIELD SOUTH
Coburg,,,h,865000,,,7.8,,4,,,452,125,1925,Darebin City Council,-37.7525,144.948,Northern Metropolitan,11204,96,1913.716814,6920,216250,110897.4359,,COBURG
Coburg,,,u,485000,,,7.8,,2,,,0,96,1880,Darebin City Council,-37.7367,144.9701,Northern Metropolitan,11204,141, ,5052.083333,242500,62179.48718,,COBURG
Collingwood,,,h,1075000,,,1.6,,3,,,183,104,1880,Yarra City Council,-37.7948,144.9875,Northern Metropolitan,4553,141,5874.31694,10336.53846,358333.3333,671875,,COLLINGWOOD
Doncaster,,,h,1485000,,,13.9,,3,,,731,140,1960,Manningham City Council,-37.7892,145.131,Eastern Metropolitan,9028,61,2031.463748,10607.14286,495000,106834.5324,,DONCASTER
Doncaster,,,h,1190000,,,13.9,,3,,,658,140,1960,Manningham City Council,-37.7816,145.1066,Eastern Metropolitan,9028,61,1808.510638,8500,396666.6667,85611.51079,,DONCASTER
Elsternwick,,,t,1071000,,,8.5,,3,,,179,125,2000,Glen Eira City Council,-37.8961,145.0125,Southern Metropolitan,4898,21,5983.240223,8568,357000,126000,,ELSTERNWICK
Elsternwick,,,h,1800000,,,8.5,,3,,,492,181,1905,Glen Eira City Council,-37.8789,145.0048,Southern Metropolitan,4898,116,3658.536585,9944.751381,600000,211764.7059,,ELSTERNWICK
Elsternwick,,,h,2345000,,,8.5,,3,,,419,204,1908,Glen Eira City Council,-37.8817,145.0126,Southern Metropolitan,4898,113,5596.658711,11495.09804,781666.6667,275882.3529,,ELSTERNWICK
Elsternwick,,,u,741000,,,8.5,,3,,,0,1561,1966,Glen Eira City Council,-37.8829,145.0033,Southern Metropolitan,4898,55, ,474.6957079,247000,87176.47059,,ELSTERNWICK
