Suburb,CouncilArea,Lattitude,Longtitude,Buildingage,Pricepermeterland,Pricepermeterbuilding
Abbotsford,Yarra City Council,-37.8079,144.9934,121,6634.615385,13101.26582
Altona,Hobsons Bay City Council,-37.8687,144.8197,8,2465.753425,5760
Bentleigh,Glen Eira City Council,-37.9272,145.0406,21,4088.628763,6754.143646
Burwood,Monash City Council,-37.8551,145.1121, ,1656.115108, 
Burwood,Monash City Council,-37.854,145.1195,51,1885.069817,12103.44828
Chadstone,Monash City Council,-37.8801,145.1051,7,3090.277778,5632.911392
Coburg,Darebin City Council,-37.7382,144.973,16,4753.521127,5487.804878
Elwood,Port Phillip City Council,-37.8829,144.9797,25,3487.5,11071.42857
Essendon,Moonee Valley City Council,-37.7454,144.8987,13,4048.888889,9295.918367
Footscray,Maribyrnong City Council,-37.7907,144.8924,51, ,4320
Maidstone,Maribyrnong City Council,-37.7863,144.881, ,2037.351443, 
Maidstone,Maribyrnong City Council,-37.779,144.8832, ,1769.083969,6669.064748
Maribyrnong,Maribyrnong City Council,-37.7746,144.8798,17,7272.727273,4869.565217
Maribyrnong,Maribyrnong City Council,-37.7719,144.8815,21,6746.987952, 
Port Melbourne,Melbourne City Council,-37.8408,144.94,9, ,9649.122807
Richmond,Yarra City Council,-37.8265,145.0022, ,5680.412371, 
Thornbury,Darebin City Council,-37.7536,144.9825,12,4908.536585,8473.684211
Yarraville,Maribyrnong City Council,-37.8209,144.8913,101,5361.445783, 
Ormond,Glen Eira City Council,-37.9028,145.0475,61, ,6944.444444
West Footscray,Maribyrnong City Council,-37.7958,144.8645,66,1458.762887, 
Albion,Brimbank City Council,-37.7812,144.8121,63,1138.392857,6891.891892
Airport West,Moonee Valley City Council,-37.7186,144.876,61,854.7888774,7345.132743
Albert Park,Port Phillip City Council,-37.847,144.9575,121,9478.672986,13605.44218
Alphington,Darebin City Council,-37.7755,145.0288, ,2601.351351, 
Altona,Hobsons Bay City Council,-37.868,144.8287, ,10428.57143, 
Altona,Hobsons Bay City Council,-37.8608,144.8124,71,1118.811881,7793.103448
Armadale,Stonnington City Council,-37.8537,145.0114, , , 
Ascot Vale,Moonee Valley City Council,-37.782,144.903,131,2918.149466,8039.215686
Ascot Vale,Moonee Valley City Council,-37.78,144.9295,121,3101.952278,5000
Ascot Vale,Moonee Valley City Council,-37.7791,144.914,26,2026.578073,5865.384615
Ascot Vale,Moonee Valley City Council,-37.7727,144.9136,71,1914.460285,7401.574803
Avondale Heights,Moonee Valley City Council,-37.7644,144.8657, ,2301.038062, 
Avondale Heights,Moonee Valley City Council,-37.7664,144.8583, ,3166.666667, 
Bentleigh,Glen Eira City Council,-37.9228,145.0476, ,1896.428571, 
Bentleigh,Glen Eira City Council,-37.9149,145.0469, ,2244.604317, 
Bentleigh East,Glen Eira City Council,-37.9112,145.0738, ,2682.215743, 
Bentleigh East,Glen Eira City Council,-37.9117,145.0695,71,1446.280992,8015.267176
Bentleigh East,Glen Eira City Council,-37.9217,145.056, ,1854.934602, 
Bentleigh East,Glen Eira City Council,-37.9278,145.081, ,1331.114809, 
Bentleigh East,Glen Eira City Council,-37.9293,145.0657,16,3592.039801,9139.240506
Bentleigh East,Glen Eira City Council,-37.9286,145.069,61,1581.632653,6992.481203
Bentleigh East,Glen Eira City Council,-37.919,145.0829,21,3164.948454,7739.495798
Bentleigh East,Glen Eira City Council,-37.9193,145.0691,71,1696.721311,6468.75
Box Hill,Whitehorse City Council,-37.8247,145.1281,131,2312.138728,8205.128205
Brighton,Bayside City Council,-37.9164,145.0002, ,6106.870229, 
Brighton,Bayside City Council,-37.9012,144.997,101,3804.347826,9589.041096
Brighton East,Bayside City Council,-37.9208,145.0126, ,2389.380531, 
Brighton East,Bayside City Council,-37.9089,145.0246,17, , 
Brunswick,Moreland City Council,-37.7597,144.9545,121,3928.571429,6346.153846
