Suburb,Pricepermeterland,Date,Dayofweek,Months,Type,,Month,Avgmonthprice
Footscray, ,42404,Thursday,February,u,,January,1636.921661
Port Melbourne, ,42404,Thursday,February,u,,February,1599.521219
Ormond, ,42404,Thursday,February,u,,March,2070.981447
Altona,10428.57143,42476,Saturday,April,u,,April,2868.169345
Armadale, ,42476,Saturday,April,u,,May,5141.503567
Ascot Vale,2026.578073,42476,Saturday,April,u,,June,2369.704667
Avondale Heights,2301.038062,42476,Saturday,April,u,,July,5030.956589
Brighton,6106.870229,42476,Saturday,April,u,,September,2413.452481
Coburg, ,42476,Saturday,April,u,,November,2594.911772
Collingwood, ,42476,Saturday,April,u,,December,2406.722813
Elsternwick, ,42476,Saturday,April,u,,,
Elwood,422.9346486,42476,Saturday,April,u,,,
Elwood, ,42476,Saturday,April,u,,,
Elwood, ,42476,Saturday,April,u,,,
Essendon,1593.625498,42476,Saturday,April,u,,,
Essendon, ,42476,Saturday,April,u,,,
Essendon, ,42476,Saturday,April,u,,,
Footscray, ,42476,Saturday,April,u,,,
Footscray,2971.014493,42476,Saturday,April,u,,,
Hughesdale, ,42476,Saturday,April,u,,,
Maidstone, ,42476,Saturday,April,u,,,
Maribyrnong, ,42476,Saturday,April,u,,,
Middle Park, ,42476,Saturday,April,u,,,
North Melbourne, ,42476,Saturday,April,u,,,
North Melbourne, ,42476,Saturday,April,u,,,
Pascoe Vale, ,42476,Saturday,April,u,,,
Prahran, ,42476,Saturday,April,u,,,
Prahran, ,42476,Saturday,April,u,,,
Reservoir,3615.384615,42476,Saturday,April,u,,,
Reservoir, ,42476,Saturday,April,u,,,
Reservoir,3196.721311,42476,Saturday,April,u,,,
Richmond, ,42476,Saturday,April,u,,,
South Melbourne, ,42476,Saturday,April,u,,,
South Melbourne, ,42476,Saturday,April,u,,,
South Yarra,701.6348774,42476,Saturday,April,u,,,
Southbank, ,42476,Saturday,April,u,,,
St Kilda,737.1888726,42476,Saturday,April,u,,,
St Kilda, ,42476,Saturday,April,u,,,
St Kilda, ,42476,Saturday,April,u,,,
Thornbury, ,42476,Saturday,April,u,,,
Yarraville, ,42476,Saturday,April,u,,,
Brunswick East, ,42476,Saturday,April,u,,,
Ormond, ,42476,Saturday,April,u,,,
Altona,2814.634146,42483,Saturday,April,u,,,
Box Hill, ,42483,Saturday,April,u,,,
Doncaster,6746.268657,42483,Saturday,April,u,,,
Essendon, ,42483,Saturday,April,u,,,
Fitzroy, ,42483,Saturday,April,u,,,
Kensington, ,42483,Saturday,April,u,,,
Kensington, ,42483,Saturday,April,u,,,
Maidstone, ,42483,Saturday,April,u,,,
Malvern East, ,42483,Saturday,April,u,,,
Melbourne, ,42483,Saturday,April,u,,,
Northcote, ,42483,Saturday,April,u,,,
Prahran, ,42483,Saturday,April,u,,,
Reservoir,1848.591549,42483,Saturday,April,u,,,
South Melbourne, ,42483,Saturday,April,u,,,
South Yarra, ,42483,Saturday,April,u,,,
Southbank, ,42483,Saturday,April,u,,,
St Kilda, ,42483,Saturday,April,u,,,
Ormond,2460.732984,42483,Saturday,April,u,,,
Armadale,347.8466635,42497,Saturday,May,u,,,
Armadale, ,42497,Saturday,May,u,,,
Balaclava, ,42497,Saturday,May,u,,,
Bentleigh East, ,42497,Saturday,May,u,,,
Bentleigh East,2456.603774,42497,Saturday,May,u,,,
Brighton,3846.982759,42497,Saturday,May,u,,,
Brunswick, ,42497,Saturday,May,u,,,
Brunswick West, ,42497,Saturday,May,u,,,
Carnegie, ,42497,Saturday,May,u,,,
Elwood, ,42497,Saturday,May,u,,,
Elwood, ,42497,Saturday,May,u,,,
Fitzroy, ,42497,Saturday,May,u,,,
Footscray,437.593985,42497,Saturday,May,u,,,
Malvern, ,42497,Saturday,May,u,,,
Maribyrnong,74.1918389,42497,Saturday,May,u,,,
Melbourne, ,42497,Saturday,May,u,,,
Newport, ,42497,Saturday,May,u,,,
North Melbourne, ,42497,Saturday,May,u,,,
Northcote,222.1041445,42497,Saturday,May,u,,,
Pascoe Vale,2414.634146,42497,Saturday,May,u,,,
Pascoe Vale,2842.767296,42497,Saturday,May,u,,,
Port Melbourne, ,42497,Saturday,May,u,,,
Port Melbourne,390.1200369,42497,Saturday,May,u,,,
Port Melbourne, ,42497,Saturday,May,u,,,
Prahran,1141.678129,42497,Saturday,May,u,,,
Reservoir,2368.421053,42497,Saturday,May,u,,,
Reservoir,2771.317829,42497,Saturday,May,u,,,
Richmond,54.32595573,42497,Saturday,May,u,,,
South Yarra, ,42497,Saturday,May,u,,,
South Yarra, ,42497,Saturday,May,u,,,
South Yarra, ,42497,Saturday,May,u,,,
Southbank, ,42497,Saturday,May,u,,,
Southbank, ,42497,Saturday,May,u,,,
Southbank, ,42497,Saturday,May,u,,,
St Kilda, ,42497,Saturday,May,u,,,
St Kilda,85.07670851,42497,Saturday,May,u,,,
St Kilda, ,42497,Saturday,May,u,,,
St Kilda, ,42497,Saturday,May,u,,,
St Kilda, ,42497,Saturday,May,u,,,
Toorak, ,42497,Saturday,May,u,,,
West Melbourne, ,42497,Saturday,May,u,,,
West Melbourne, ,42497,Saturday,May,u,,,
Williamstown, ,42497,Saturday,May,u,,,
Windsor, ,42497,Saturday,May,u,,,
Windsor, ,42497,Saturday,May,u,,,
Aberfeldie, ,42497,Saturday,May,u,,,
Aberfeldie,481.557377,42497,Saturday,May,u,,,
Carlton, ,42497,Saturday,May,u,,,
Murrumbeena,3519.855596,42497,Saturday,May,u,,,
Murrumbeena,2472.727273,42497,Saturday,May,u,,,
West Footscray, ,42497,Saturday,May,u,,,
Oakleigh, ,42497,Saturday,May,u,,,
Ripponlea,837.9501385,42497,Saturday,May,u,,,
Abbotsford, ,42504,Saturday,May,u,,,
Altona,3690.47619,42504,Saturday,May,u,,,
Armadale,442.6787741,42504,Saturday,May,u,,,
Ashwood,3194.444444,42504,Saturday,May,u,,,
Brighton,6941.176471,42504,Saturday,May,u,,,
Brighton,7627.118644,42504,Saturday,May,u,,,
Collingwood, ,42504,Saturday,May,u,,,
Essendon, ,42504,Saturday,May,u,,,
Essendon North,5113.636364,42504,Saturday,May,u,,,
Hampton,3028.571429,42504,Saturday,May,u,,,
Keilor East,1850.393701,42504,Saturday,May,u,,,
Keilor East,1590.909091,42504,Saturday,May,u,,,
Malvern East, ,42504,Saturday,May,u,,,
Moonee Ponds, ,42504,Saturday,May,u,,,
Niddrie,3658.536585,42504,Saturday,May,u,,,
Northcote, ,42504,Saturday,May,u,,,
Northcote, ,42504,Saturday,May,u,,,
Pascoe Vale,2228.310502,42504,Saturday,May,u,,,
Port Melbourne,378.578024,42504,Saturday,May,u,,,
Prahran, ,42504,Saturday,May,u,,,
Preston,4145.299145,42504,Saturday,May,u,,,
Reservoir,2727.272727,42504,Saturday,May,u,,,
Richmond, ,42504,Saturday,May,u,,,
Richmond, ,42504,Saturday,May,u,,,
Richmond, ,42504,Saturday,May,u,,,
South Melbourne, ,42504,Saturday,May,u,,,
South Yarra, ,42504,Saturday,May,u,,,
South Yarra, ,42504,Saturday,May,u,,,
South Yarra, ,42504,Saturday,May,u,,,
South Yarra,280.8988764,42504,Saturday,May,u,,,
Southbank,123.7751418,42504,Saturday,May,u,,,
St Kilda, ,42504,Saturday,May,u,,,
St Kilda, ,42504,Saturday,May,u,,,
St Kilda, ,42504,Saturday,May,u,,,
St Kilda, ,42504,Saturday,May,u,,,
Thornbury,542.4836601,42504,Saturday,May,u,,,
