Suburb,Type,Lattitude,Longtitude,Landpercentage
Gowanbrae,t,-37.7867,144.9342,30
Cheltenham,h,-37.7664,145.0884,30
Moonee Ponds,h,-37.8183,145.0371,30.05952381
Northcote,h,-37.702,145.0324,30.06535948
Camberwell,h,-37.789,145.0791,30.15151515
Williamstown,h,-37.8961,145.0125,30.16759777
Donvale,h,-37.7306,144.9993,30.18867925
Preston,h,-37.8374,144.9495,30.20134228
Fitzroy North,h,-37.7833,144.98521,30.24193548
Reservoir,h,-37.7767,144.9403,30.25210084
North Melbourne,u,-37.8433,145.0024,30.28846154
Williamstown,h,-37.847,144.9575,30.33175355
Prahran,h,-37.771,144.9974,30.33707865
Maidstone,h,-37.7132,145.0075,30.33707865
Airport West,t,-37.8064,145.0451,30.37766831
Niddrie,u,-37.8232,145.0002,30.37974684
Sunshine West,h,-37.8785,145.1529,30.41666667
Rowville,h,-37.7893,145.092,30.43478261
Yarraville,h,-37.7893,145.092,30.43478261
Kew East,u,-37.9179,145.0592,30.43478261
Surrey Hills,h,-37.85682,145.10873,30.43478261
Camberwell,h,-37.712,144.9175,30.43478261
Balwyn,t,-37.7082,144.9178,30.48780488
Ormond,h,-37.86837,144.81502,30.5
Kensington,h,-37.85231,144.96373,30.50847458
Glen Waverley,h,-37.73697,144.97568,30.56478405
Elwood,h,-37.86409,144.88224,30.58035714
Balwyn North,h,-37.7308,144.9832,30.63583815
Clifton Hill,h,-37.7938,145.0321,30.64516129
Boronia,h,-37.9257,145.0735,30.65693431
Essendon,t,-37.78606,144.87205,30.68783069
Reservoir,h,-37.7919,144.9884,30.71428571
Ormond,h,-37.91503,145.00888,30.72463768
Balwyn,u,-37.79798,145.06349,30.74074074
Port Melbourne,h,-37.9197,145.057,30.74324324
Spotswood,h,-37.77459,144.92993,30.83333333
Thornbury,h,-37.8919,145.0781,30.86756757
Surrey Hills,h,-37.79057,144.82188,30.92105263
Malvern East,t,-37.8166,144.9987,30.99415205
Glenroy,u,-37.81547,144.89475,31.05022831
Maidstone,t,-37.7388,144.89984,31.08695652
Seaholme,h,-37.8137,145.11013,31.09452736
Hawthorn East,h,-37.70201,144.90146,31.11111111
Camberwell,h,-37.92967,145.04474,31.12947658
Doncaster East,h,-37.749,144.8599,31.25
Kew,t,-37.87,144.825,31.25
Keilor East,h,-37.8169,145.021,31.3253012
Reservoir,h,-37.7591,144.8923,31.33640553
Surrey Hills,h,-37.71122,144.91863,31.37254902
Aberfeldie,h,-37.7829,144.9788,31.38297872
Hadfield,h,-37.8933,145.0546,31.38461538
West Melbourne,u,-37.7892,144.9999,31.41025641
Hawthorn,u,-37.70168,144.94862,31.44329897
Surrey Hills,h,-37.72623,144.94521,31.51515152
Surrey Hills,h,-37.71865,144.95018,31.5503876
Camberwell,u,-37.75845,144.93448,31.55893536
