Suburb,Type,Lattitude,Longtitude,Landpercentage
Collingwood,h,-37.7921,144.9858,0
Seddon,t,-37.85359,145.01071,0
Strathmore,h,-37.78659,144.92285,0
Gowanbrae,h,-37.7582,145.0094,0
Bentleigh East,h,-37.7578,145.0076,0
Fitzroy,h,-37.79487,144.86353,0
Cremorne,u,-37.74752,145.00087,0
Oak Park,h,-37.80906,145.15787,0
South Melbourne,h,-37.864,145.0972,0
West Melbourne,u,-37.7258,144.9347,0
Preston,h,-37.8517,145.0796,0
Carlton,u,-37.9354,144.9994,0
Tullamarine,h,-37.73935,145.01517,0
Ferntree Gully,h,-37.7623,144.8272,0
Flemington,h,-37.7152,144.9402,0
Ascot Vale,u,-37.8999,145.0643,0
Maribyrnong,u,-37.81133,144.89553,0
Elwood,u,-37.84362,145.16976,0
Essendon,h,-37.9029,145.0118,0
Keilor East,h,-37.79799,144.98954,0
Deer Park,h,-37.8255,145.0481,0
Coburg,h,-37.8033,145.0526,0
Mitcham,h,-37.887,145.07303,0
Richmond,h,-37.7961,144.9873,0
Balaclava,h,-37.8395,144.9343,0
Carlton North,u,-37.8351,144.9675,0
Clayton,h,-37.8311,144.9914,0
Fairfield,h,-37.94999,145.03122,0
Glen Waverley,h,-37.83633,145.16873,0
Delahey,h,-37.6972,144.9239,0
Footscray,h,-37.82622,144.99879,0
Footscray,h,-37.70691,144.90934,0
Williamstown,h,-37.94882,145.03111,0
Templestowe,h,-37.8351,144.8529,0
Balwyn North,h,-37.8129,145.0013,0
Balwyn North,h,-37.7053,145.0173,0
Camberwell,u,-37.83933,144.93771,0
Glen Iris,h,-37.7987,144.8807,0
Hawthorn,u,-37.762,144.8916,0
Balwyn,h,-37.73893,144.87661,0
Balwyn,h,-37.8351,144.9441,0
Kew East,h,-37.93087,145.04172,0
South Yarra,u,-37.8279,144.8379,0.186915888
Sunshine West,h,-37.75474,144.9539,0.234741784
Hampton,h,-37.79663,144.79114,0.254452926
Kew East,h,-37.8261,144.8718,0.35971223
Balwyn,h,-37.8042,145.1042,0.414937759
Kensington,h,-37.8068,144.8782,0.454545455
Bentleigh East,h,-37.7815,144.8423,0.45941807
Camberwell,h,-37.8654,145.0297,0.520833333
Glen Iris,h,-37.8115,144.8763,0.555555556
West Melbourne,u,-37.8473,144.9551,0.680272109
Flemington,h,-37.8467,144.9983,0.709219858
Balwyn North,h,-37.95656,145.06926,0.724637681
Braybrook,h,-37.74711,144.95659,0.733496333
