Month,Avgmonthprice,Type
January,1183456.716,h
February,1249982.767,h
March,1337582.012,h
April,1187860.459,h
May,1237060.359,h
June,1227321.544,h
July,1110382.735,h
September,1246093.507,h
November,1286272.872,h
December,1285687.018,h
January,948176.4706,t
February,1013368.317,t
March,983666.6667,t
April,928182.6667,t
May,925467.2956,t
June,932263.1579,t
July,844696.7213,t
September,985926.5363,t
November,986069.272,t
December,1060703.704,t
January,735666.6667,u
February,557943.5644,u
March,640767.8571,u
April,611170.6522,u
May,602371.875,u
June,636463.9943,u
July,576837.3204,u
September,614326.3982,u
November,595195.5528,u
December,599246.5039,u
