Month,Avgmonthprice,Type
January,2549.359206,h
February,3377.082454,h
March,3548.263659,h
April,3543.029863,h
May,3576.422285,h
June,3406.890489,h
July,2935.764582,h
September,3295.985023,h
November,3337.047372,h
December,3426.026797,h
January,2991.018564,t
February,4595.178554,t
March,4561.829875,t
April,12495.14042,t
May,4800.875427,t
June,5339.653732,t
July,3986.175958,t
September,5479.565245,t
November,5457.583346,t
December,3708.212492,t
January,1636.921661,u
February,1599.521219,u
March,2070.981447,u
April,2868.169345,u
May,5141.503567,u
June,2369.704667,u
July,5030.956589,u
September,2413.452481,u
November,2594.911772,u
December,2406.722813,u
