Suburb,Type,Price,Date,Distance,Bedroom,Bathroom,Car,Landsize,BuildingArea,Lattitude,Longtitude,Buildingage,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance,Priceperage,,Pricelandratio,Landbuildingratio
Abbotsford,h,1035000,4/02/2016,2.5,3,1,4,807,117,-37.86788,145.12121,825,1486.988848,10256.41026,400000,84507.04225,1254.545455,,1282.527881,6.897435897
Bentleigh,h,1222500,4/02/2016,13,2,1,1,2886,122,-37.8042,144.9845,191,296.2577963,7008.196721,427500,534375,6400.52356,,423.5966736,23.6557377
Burwood,h,1755000,4/02/2016,11.7,3,2,2,80,144,-37.8233,144.9947,171,20000,11111.11111,533333.3333,615384.6154,10263.15789,,21937.5,0.555555556
Coburg,h,675000,4/02/2016,7.8,3,2,2,0,3,-37.8584,144.9802,171, ,533333.3333,533333.3333,262295.082,3947.368421,,#DIV/0!,0
Elwood,t,1395000,4/02/2016,7.7,2,2,1,0,101,-37.847,144.9936,171, ,8326.732673,420500,186888.8889,8157.894737,,#DIV/0!,0
Essendon,h,911000,4/02/2016,8,4,4,2,337,291,-37.8052,144.9739,167,9821.958457,11374.57045,827500,2068750,5455.08982,,2703.264095,1.158075601
Footscray,u,216000,4/02/2016,6.4,5,3,0,190,232,-37.8377,144.9653,165,11894.73684,9741.37931,452000,1076190.476,1309.090909,,1136.842105,0.818965517
Maribyrnong,t,560000,4/02/2016,8.7,4,3,1,200,153,-37.836,144.965,161,10900,14248.36601,545000,1038095.238,3478.26087,,2800,1.307189542
Port Melbourne,u,550000,4/02/2016,3.8,2,2,1,0,90,-37.7947,144.9724,161, ,10666.66667,480000,533333.3333,3416.149068,,#DIV/0!,0
Thornbury,t,805000,4/02/2016,6.5,3,2,2,216,193.74,-37.83863,144.96208,161,12962.96296,14452.35883,933333.3333,1473684.211,5000,,3726.851852,1.114896253
Altona,h,678000,16/04/2016,13.8,3,2,0,250,280,-37.8381,144.9391,158,8800,7857.142857,733333.3333,578947.3684,4291.139241,,2712,0.892857143
Ascot Vale,h,1640000,16/04/2016,5.9,4,2,4,1690,284,-37.82652,145.03052,158,,,1912500,,10379.74684,,970.4142012,5.950704225
Bentleigh East,h,930000,16/04/2016,13.9,3,1,2,111,3,-37.7941,145.0238,149,,,230000,,6241.610738,,8378.378378,37
Bentleigh East,h,921000,16/04/2016,13.9,2,2,1,190,172,-37.7928,144.9575,146,11578.94737,12790.69767,1100000,846153.8462,6308.219178,,4847.368421,1.104651163
Brighton,h,2100000,16/04/2016,11.2,2,1,1,730,93,-37.85563,145.04369,146,,,381000,,14383.56164,,2876.712329,7.849462366
Brighton East,t,940000,16/04/2016,10.7,3,2,2,0,260,-37.8352,144.952,144, ,8846.153846,766666.6667,1095238.095,6527.777778,,#DIV/0!,0
Brunswick,h,860000,16/04/2016,5.2,2,2,1,0,96,-37.7367,144.9701,141, ,5052.083333,242500,62179.48718,6099.29078,,#DIV/0!,0
