Suburb,Address,Rooms,Type,   Price   ,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,,
Albion,7 Brisbane St,3,h," $750,000.00 ",SP,Ray,17/03/2018,10.5,3020,3,1,2,697,146,1950,Brimbank City Council,-37.77824,144.81604,Western Metropolitan,2185,,
Albion,13 Wyalong St,3,h," $781,000.00 ",S,Barry,17/03/2018,10.5,3020,3,2,2,292,164,2015,Brimbank City Council,-37.77792,144.81678,Western Metropolitan,2185,,
Altona North,271 Millers Rd,3,h," $750,000.00 ",S,Greg,17/03/2018,9.4,3025,3,1,3,557,111,1970,Hobsons Bay City Council,-37.84061,144.84692,Western Metropolitan,5132,,
Armadale,5 Eileen St,3,h," $1,899,000.00 ",S,RT,17/03/2018,6.3,3143,3,2,2,263,93,1930,Stonnington City Council,-37.85137,145.0158,Southern Metropolitan,4836,,
Ascot Vale,10 Enclave Av,2,t," $838,000.00 ",S,Brad,17/03/2018,4.3,3032,2,2,2,131,110,2016,Moonee Valley City Council,-37.77558,144.90397,Western Metropolitan,6567,,
Ascot Vale,5 McCully St,4,h," $1,610,000.00 ",S,Jellis,17/03/2018,4.3,3032,4,2,1,466,194,1900,Moonee Valley City Council,-37.77593,144.92156,Western Metropolitan,6567,,
Ascot Vale,37 Mirams St,3,h," $1,310,000.00 ",PI,Nelson,17/03/2018,4.3,3032,3,2,2,351,126,1900,Moonee Valley City Council,-37.77677,144.9128,Western Metropolitan,6567,,
Ashwood,56 Cleveland Rd,3,h," $1,150,000.00 ",VB,Jellis,17/03/2018,10.2,3147,3,1,3,621,132,1960,Monash City Council,-37.87229,145.10489,Southern Metropolitan,2894,,
Bentleigh,6 Gilbert Gr,5,h," $2,000,000.00 ",VB,Buxton,17/03/2018,11.4,3204,5,3,2,665,332,2007,Glen Eira City Council,-37.92064,145.03146,Southern Metropolitan,6795,,
Bentleigh,12 Miles St,5,h," $2,275,000.00 ",S,Jellis,17/03/2018,11.4,3204,5,3,3,705,389,1998,Glen Eira City Council,-37.92247,145.03051,Southern Metropolitan,6795,,
Bentleigh,1 Wyuna Ct,3,h," $1,100,000.00 ",VB,Woodards,17/03/2018,11.4,3204,3,1,4,635,242,2019,Glen Eira City Council,-37.92963,145.03666,Southern Metropolitan,6795,,
Bentleigh East,17 Kenjulie Dr,3,h," $1,125,000.00 ",VB,Buxton,17/03/2018,13.8,3165,3,2,2,587,177,1965,Glen Eira City Council,-37.93014,145.06384,Southern Metropolitan,10969,,
Bentleigh East,73 Stockdale Av,3,h," $1,250,000.00 ",S,Jellis,17/03/2018,13.8,3165,3,1,4,592,135,1960,Glen Eira City Council,-37.91795,145.07162,Southern Metropolitan,10969,,
Blackburn North,19 Kurrajong Wy,3,t," $900,000.00 ",S,Noel,17/03/2018,13.4,3130,3,2,2,278,200,1990,Whitehorse City Council,-37.80862,145.14474,Eastern Metropolitan,2867,,
Blackburn South,27 Gissing St,4,h," $1,367,000.00 ",S,Woodards,17/03/2018,13.4,3130,4,3,2,610,240,1966,Whitehorse City Council,-37.83702,145.15345,Eastern Metropolitan,4387,,
Boronia,19 Rathmullen Rd,3,h," $740,000.00 ",PI,Noel,17/03/2018,25,3155,3,2,2,739,128,1983,Knox City Council,-37.86127,145.26246,Eastern Metropolitan,9704,,
Box Hill,29 Albion Rd,6,h," $4,600,000.00 ",SP,Buxton,17/03/2018,10.9,3128,6,3,5,1463,307,1880,Whitehorse City Council,-37.82438,145.12528,Eastern Metropolitan,4605,,
Braybrook,305 Ballarat Rd,3,h," $780,000.00 ",VB,GL,17/03/2018,8.6,3019,3,1,1,613,110,1950,Maribyrnong City Council,-37.77998,144.85338,Western Metropolitan,3589,,
Brighton,56A Dendy St,4,h," $3,000,000.00 ",PI,Marshall,17/03/2018,10.5,3186,4,3,2,663,324,1960,Bayside City Council,-37.92022,144.99824,Southern Metropolitan,10579,,
Brighton East,16 Clonaig St,5,h," $2,350,000.00 ",VB,Marshall,17/03/2018,10.3,3187,5,2,3,1048,249,1925,Bayside City Council,-37.90381,145.0106,Southern Metropolitan,6938,,
Brighton East,630 Hawthorn Rd,2,h," $1,380,000.00 ",S,Woodards,17/03/2018,10.3,3187,2,1,2,619,99,1920,Bayside City Council,-37.90272,145.01869,Southern Metropolitan,6938,,
Brunswick,21 Barrow St,4,h," $1,520,000.00 ",VB,Brad,17/03/2018,5.2,3056,4,2,1,348,165,1890,Moreland City Council,-37.76101,144.96948,Northern Metropolitan,11918,,
Brunswick,39 Bishop St,3,h," $955,000.00 ",SP,Nelson,17/03/2018,5.2,3056,3,1,1,159,103,1900,Moreland City Council,-37.75986,144.96671,Northern Metropolitan,11918,,
Brunswick,159 Edward St,2,h," $1,450,000.00 ",S,Nelson,17/03/2018,5.2,3056,2,1,1,255,134,1916,Moreland City Council,-37.77455,144.96865,Northern Metropolitan,11918,,
