Suburb,Type,Price,Date,Distance,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Buildingage,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance,Priceperage,Uppercase,,Pricelandratio,
Abbotsford,h,1035000,4/02/2016,2.5,3,1,4,807,117,1196,Monash City Council,-37.86788,145.12121,Eastern Metropolitan,13366,825,1486.988848,10256.41026,400000,84507.04225,1254.545455,ABBOTSFORD,,,
Altona,t,720000,4/02/2016,13.8,2,1,,,64,1820,Melbourne City Council,-37.78188,144.97227,Northern Metropolitan,3106,201, ,11250,360000,205714.2857,3582.089552,ALTONA,,,
Bentleigh,h,1222500,4/02/2016,13,2,1,1,2886,122,1830,Yarra City Council,-37.8042,144.9845,Northern Metropolitan,4553,191,296.2577963,7008.196721,427500,534375,6400.52356,BENTLEIGH,,,
Burwood,h,1755000,4/02/2016,11.7,3,2,2,80,144,1850,Yarra City Council,-37.8233,144.9947,Northern Metropolitan,14949,171,20000,11111.11111,533333.3333,615384.6154,10263.15789,BURWOOD,,,
Chadstone,h,890000,4/02/2016,13.6,2,1,0,67,,1850,Yarra City Council,-37.7969,144.9759,Northern Metropolitan,5825,171,10104.47761, ,338500,423125,5204.678363,CHADSTONE,,,
Coburg,h,675000,4/02/2016,7.8,3,2,2,0,3,1850,Port Phillip City Council,-37.8584,144.9802,Southern Metropolitan,13240,171, ,533333.3333,533333.3333,262295.082,3947.368421,COBURG,,,
Elwood,t,1395000,4/02/2016,7.7,2,2,1,0,101,1850,Stonnington City Council,-37.847,144.9936,Southern Metropolitan,7717,171, ,8326.732673,420500,186888.8889,8157.894737,ELWOOD,,,
Essendon,h,911000,4/02/2016,8,4,4,2,337,291,1854,Yarra City Council,-37.8052,144.9739,Northern Metropolitan,5825,167,9821.958457,11374.57045,827500,2068750,5455.08982,ESSENDON,,,
Footscray,u,216000,4/02/2016,6.4,5,3,0,190,232,1856,Port Phillip City Council,-37.8377,144.9653,Southern Metropolitan,5943,165,11894.73684,9741.37931,452000,1076190.476,1309.090909,FOOTSCRAY,,,
Maribyrnong,t,560000,4/02/2016,8.7,3,2,1,195,,1857,Port Phillip City Council,-37.83381,144.96287,Southern Metropolitan,5943,164,11282.05128, ,733333.3333,1157894.737,3414.634146,MARIBYRNONG,,,
Maribyrnong,t,560000,4/02/2016,8.7,4,3,1,200,153,1860,Port Phillip City Council,-37.836,144.965,Southern Metropolitan,5943,161,10900,14248.36601,545000,1038095.238,3478.26087,MARIBYRNONG,,,
Port Melbourne,u,550000,4/02/2016,3.8,2,2,1,0,90,1860,Melbourne City Council,-37.7947,144.9724,Northern Metropolitan,6786,161, ,10666.66667,480000,533333.3333,3416.149068,PORT MELBOURNE,,,
Thornbury,t,805000,4/02/2016,6.5,3,2,2,216,193.74,1860,Port Phillip City Council,-37.83863,144.96208,Southern Metropolitan,5943,161,12962.96296,14452.35883,933333.3333,1473684.211,5000,THORNBURY,,,
Yarraville,h,890000,4/02/2016,7,3,2,2,,153,1860,Yarra City Council,-37.82047,144.99768,Northern Metropolitan,14949,161, ,11241.83007,573333.3333,716666.6667,5527.950311,YARRAVILLE,,,
Ormond,u,250000,4/02/2016,11.8,5,3,3,1454,,1860,Bayside City Council,-37.90148,144.99392,Southern Metropolitan,10579,161,3720.770289, ,1082000,515238.0952,1552.795031,ORMOND,,,
West Footscray,h,1415000,4/02/2016,8.2,3,2,3,,160,1860,Melbourne City Council,-37.7844,144.958,Northern Metropolitan,2309,161, ,8437.5,450000,750000,8788.819876,WEST FOOTSCRAY,,,
Albion,h,765000,4/02/2016,13.9,3,1,4,,237,1860,Hobsons Bay City Council,-37.86097,144.90015,Western Metropolitan,6380,161, ,6434.599156,508333.3333,224264.7059,4751.552795,ALBION,,,
Airport West,h,830000,16/04/2016,13.5,4,4,0,225,,1862,Yarra City Council,-37.80209,144.97443,Northern Metropolitan,5825,159,14222.22222, ,800000,1523809.524,5220.125786,AIRPORT WEST,,,
Albert Park,h,2000000,16/04/2016,3.3,3,2,1,234,,1863,Port Phillip City Council,-37.8355,144.9663,Southern Metropolitan,5943,158,10790.59829, ,841666.6667,1202380.952,12658.22785,ALBERT PARK,,,
Altona,h,678000,16/04/2016,13.8,3,2,0,250,280,1863,Melbourne City Council,-37.8381,144.9391,Southern Metropolitan,8648,158,8800,7857.142857,733333.3333,578947.3684,4291.139241,ALTONA,,,
Ascot Vale,h,1640000,16/04/2016,5.9,4,2,4,1690,284,1863,Boroondara City Council,-37.82652,145.03052,Southern Metropolitan,11308,158,,,1912500,,10379.74684,ASCOT VALE,,,
Ascot Vale,h,1430000,16/04/2016,5.9,3,2,0,367,,1868,Port Phillip City Council,-37.8658,144.9766,Southern Metropolitan,13240,153,7411.444142, ,906666.6667,445901.6393,9346.405229,ASCOT VALE,,,
Ascot Vale,u,610000,16/04/2016,5.9,3,2,1,275,,1869,Maribyrnong City Council,-37.80626,144.88199,Western Metropolitan,1808,152,4545.454545, ,416666.6667,195312.5,4013.157895,ASCOT VALE,,,
Ascot Vale,h,940000,16/04/2016,5.9,4,1,2,608,,1870,Darebin City Council,-37.7731,144.9967,Northern Metropolitan,11364,151,3207.236842, ,487500,354545.4545,6225.165563,ASCOT VALE,,,
Bentleigh East,h,1050000,16/04/2016,13.9,3,1,1,160,,1870,Melbourne City Council,-37.8082,144.9451,Northern Metropolitan,2230,151,10937.5, ,583333.3333,921052.6316,6953.642384,BENTLEIGH EAST,,,
Bentleigh East,h,722000,16/04/2016,13.9,2,1,0,,78,1870,Port Phillip City Council,-37.83551,144.95272,Southern Metropolitan,5943,151, ,12820.51282,500000,526315.7895,4781.456954,BENTLEIGH EAST,,,
Bentleigh East,h,930000,16/04/2016,13.9,3,1,2,111,3,1872,Boroondara City Council,-37.7941,145.0238,Southern Metropolitan,10331,149,,,230000,,6241.610738,BENTLEIGH EAST,,,
Bentleigh East,h,921000,16/04/2016,13.9,2,2,1,190,172,1875,Melbourne City Council,-37.7928,144.9575,Northern Metropolitan,2309,146,11578.94737,12790.69767,1100000,846153.8462,6308.219178,BENTLEIGH EAST,,,
Bentleigh East,h,1035000,16/04/2016,13.9,2,1,,,67,1875,Melbourne City Council,-37.81675,144.9691,Northern Metropolitan,17496,146, ,7910.447761,265000,#DIV/0!,7089.041096,BENTLEIGH EAST,,,
Box Hill,h,1600000,16/04/2016,13.1,5,2,3,,218,1875,Yarra City Council,-37.79165,144.98677,Northern Metropolitan,2954,146, ,13876.14679,605000,840277.7778,10958.90411,BOX HILL,,,
Brighton,h,2100000,16/04/2016,11.2,2,1,1,730,93,1875,Boroondara City Council,-37.85563,145.04369,Southern Metropolitan,10412,146,,,381000,,14383.56164,BRIGHTON,,,
Brighton East,t,940000,16/04/2016,10.7,3,2,2,0,260,1877,Port Phillip City Council,-37.8352,144.952,Southern Metropolitan,5943,144, ,8846.153846,766666.6667,1095238.095,6527.777778,BRIGHTON EAST,,,
