Suburb,Type,Price,Date,Distance,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Propertycount,Buildingage2,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance,Priceperage,Uppercase,,Buildingage,,#REF!
Sunshine,h,975000,9/12/2017,10.5,2,1,1,211,102,2002,Glen Eira City Council,-37.8856,145.0599,7822,19,3874.407583,8014.705882,408750,71710.52632,51315.78947,SUNSHINE,,19,,
Sunshine North,h,705000,9/12/2017,10.5,3,2,1,233,194,2002,Hobsons Bay City Council,-37.8573,144.8911,6380,19,4012.875536,4819.587629,311666.6667,116875,37105.26316,SUNSHINE NORTH,,19,,
Sunshine North,h,722000,9/12/2017,10.5,2,1,1,0,80,2002,Melbourne City Council,-37.7899,144.9231,5263,19, ,4937.5,197500,94047.61905,38000,SUNSHINE NORTH,,19,,
Taylors Lakes,h,836000,9/12/2017,15.5,3,2,1,283,222,2002,Moonee Valley City Council,-37.7638,144.9175,6232,19,4416.961131,5630.630631,416666.6667,181159.4203,44000,TAYLORS LAKES,,19,,
Taylors Lakes,h,725000,9/12/2017,15.5,3,2,1,206,118,2002,Monash City Council,-37.8966,145.0863,3145,19,4019.417476,7016.949153,276000,63692.30769,38157.89474,TAYLORS LAKES,,19,,
Taylors Lakes,h,681500,9/12/2017,15.5,2,1,1,325,112,2002,Melbourne City Council,-37.7976,144.9213,5263,19,2307.692308,6696.428571,375000,178571.4286,35868.42105,TAYLORS LAKES,,19,,
Templestowe,h,1950000,9/12/2017,15.5,4,2,2,803,309,2002,Brimbank City Council,-37.7932,144.8434,3755,19,1282.689913,3333.333333,257500,81746.03175,102631.5789,TEMPLESTOWE,,19,,
Thornbury,h,1250000,9/12/2017,7,2,1,1,0,,2002,Glen Eira City Council,-37.9026,145.0364,3578,19, , ,430500,72966.10169,65789.47368,THORNBURY,,19,,
Tullamarine,h,700500,9/12/2017,12.9,3,1,2,179,108,2002,Darebin City Council,-37.7108,145.0289,21650,19,2513.96648,4166.666667,150000,40178.57143,36868.42105,TULLAMARINE,,19,,
Vermont,h,1160000,9/12/2017,17.2,2,1,2,0,89,2002,Moreland City Council,-37.7706,144.9608,11918,19, ,6657.303371,296250,113942.3077,61052.63158,VERMONT,,19,,
Vermont,h,903000,9/12/2017,17.2,2,1,1,0,83,2002,Melbourne City Council,-37.8091,144.952,2230,19, ,7469.879518,310000,326315.7895,47526.31579,VERMONT,,19,,
Vermont,h,1595000,9/12/2017,17.2,2,1,1,0,,2002,Moreland City Council,-37.7727,144.9497,7082,19, , ,217500,73728.81356,83947.36842,VERMONT,,19,,
Wantirna,h,812000,9/12/2017,14.7,3,2,1,94,130,2002,Melbourne City Council,-37.7934,144.9166,5263,19,7787.234043,5630.769231,244000,174285.7143,42736.84211,WANTIRNA,,19,,
Wantirna South,h,1050000,9/12/2017,14.7,3,2,2,116,,2002,Melbourne City Council,-37.8102,144.9515,2230,19,9741.37931, ,376666.6667,594736.8421,55263.15789,WANTIRNA SOUTH,,19,,
West Footscray,h,857500,9/12/2017,6.4,2,1,1,0,90,2002,Yarra City Council,-37.7953,144.9775,5825,19, ,7888.888889,355000,443750,45131.57895,WEST FOOTSCRAY,,19,,
Williamstown,h,1630000,9/12/2017,6.8,3,1,1,351,125,2002,Brimbank City Council,-37.7843,144.8392,3755,19,1935.897436,5436,226500,53928.57143,85789.47368,WILLIAMSTOWN,,19,,
Williamstown,h,1525000,9/12/2017,6.8,2,1,1,0,80,2002,Melbourne City Council,-37.7899,144.9231,5263,19, ,5250,210000,100000,80263.15789,WILLIAMSTOWN,,19,,
Williamstown,h,1285000,9/12/2017,6.8,2,2,1,0,100,2002,Moreland City Council,-37.7617,144.9642,11918,19, ,6850,342500,131730.7692,67631.57895,WILLIAMSTOWN,,19,,
Williamstown,h,2065000,9/12/2017,6.8,2,1,1,0,77,2002,Darebin City Council,-37.7682,145.0209,2970,19, ,7077.922078,272500,93965.51724,108684.2105,WILLIAMSTOWN,,19,,
Williamstown North,h,1615000,9/12/2017,6.8,4,2,2,0,154,2002,Bayside City Council,-37.9405,145.0346,2356,19, ,7792.207792,300000,82758.62069,85000,WILLIAMSTOWN NORTH,,19,,
Yarraville,h,1160000,9/12/2017,6.3,3,2,1,0,115,2002,Monash City Council,-37.8561,145.0962,5678,19, ,5434.782609,208333.3333,53418.80342,61052.63158,YARRAVILLE,,19,,
Airport West,h,970000,6/01/2018,10.4,5,3,2,446,286,2002,Maribyrnong City Council,-37.7712,144.8763,4918,19,2578.475336,4020.979021,230000,132183.908,51052.63158,AIRPORT WEST,,19,,
Airport West,h,790000,6/01/2018,10.4,2,2,2,0,,2002,Stonnington City Council,-37.851,145.03,4675,19, , ,577500,156081.0811,41578.94737,AIRPORT WEST,,19,,
Albert Park,h,1950000,6/01/2018,3,2,1,1,0,60,2002,Yarra City Council,-37.8046,144.984,4553,19, ,11200,336000,420000,102631.5789,ALBERT PARK,,19,,
Altona,h,850000,6/01/2018,11,2,1,1,0,75,2002,Melbourne City Council,-37.8055,144.9547,6821,19, ,8400,315000,273913.0435,44736.84211,ALTONA,,19,,
Altona Meadows,h,718000,6/01/2018,15.5,1,1,1,0,,2002,Melbourne City Council,-37.8405,144.9385,8648,19, , ,455500,119868.4211,37789.47368,ALTONA MEADOWS,,19,,
Avondale Heights,h,727500,6/01/2018,9.5,4,2,2,606,240,2002,Maribyrnong City Council,-37.788,144.862,3589,19,1402.640264,3541.666667,212500,78703.7037,38289.47368,AVONDALE HEIGHTS,,19,,
Bayswater,h,910000,6/01/2018,23.2,3,2,2,128,183,2002,Port Phillip City Council,-37.8624,144.9768,13240,19,10937.5,7650.273224,466666.6667,229508.1967,47894.73684,BAYSWATER,,19,,
Bayswater,h,862000,6/01/2018,23.2,3,2,2,108,3,2002,Glen Eira City Council,-37.8858,145.0012,4898,19,7592.592593,273333.3333,273333.3333,96470.58824,45368.42105,BAYSWATER,,19,,
Bayswater,h,822000,6/01/2018,23.2,3,2,1,75,122,2002,Port Phillip City Council,-37.8843,144.9917,8989,19,11713.33333,7200.819672,292833.3333,114090.9091,43263.15789,BAYSWATER,,19,,
Bayswater North,h,720000,6/01/2018,23.2,3,2,2,222,200,2002,Maribyrnong City Council,-37.7697,144.878,4918,19,3815.315315,4235,282333.3333,97356.32184,37894.73684,BAYSWATER NORTH,,19,,
Bentleigh,h,1740000,6/01/2018,11.4,2,1,1,0,67,2002,Melbourne City Council,-37.8188,144.9544,17496,19, ,8134.328358,272500,194642.8571,91578.94737,BENTLEIGH,,19,,
Bentleigh East,t,1320500,6/01/2018,13.8,1,1,1,0,43,2002,Port Phillip City Council,-37.8599,144.9766,13240,19, ,9116.27907,392000,64262.29508,69500,BENTLEIGH EAST,,19,,
Bentleigh East,h,1420000,6/01/2018,13.8,3,2,1,0,134,2002,Moonee Valley City Council,-37.7364,144.8977,1308,19, ,5708.955224,255000,81382.97872,74736.84211,BENTLEIGH EAST,,19,,
Bentleigh East,h,1182000,6/01/2018,13.8,2,1,2,281,95,2002,Glen Eira City Council,-37.9255,145.0796,10969,19,2654.80427,7852.631579,373000,53669.06475,62210.52632,BENTLEIGH EAST,,19,,
Blackburn,h,2250000,6/01/2018,13.4,4,3,3,586,306,2002,Manningham City Council,-37.7739,145.1287,9028,19,3040.955631,5823.529412,445500,128201.4388,118421.0526,BLACKBURN,,19,,
